Date,Covishield,Covaxin,Sputnik,Corbevax,Dose 1,Dose 2,Precaution Dose
2021-03-08,15668064,1520635,0,0,,,
2021-03-09,16739804,1619279,0,0,14003206,4357037,0
2021-03-10,17809439,1727948,0,0,14872785,4665762,0
2021-03-11,18197567,1755220,0,0,15204375,4749612,0
2021-03-12,19860313,1910640,0,0,16612019,5160140,0
2021-03-13,21148292,2010101,0,0,17698742,5460862,0
2021-03-14,21298664,2017875,0,0,17837716,5480034,0
2021-03-15,23433592,2183445,0,0,19766466,5851784,0
2021-03-16,29313725,2557019,0,0,25709257,6161488,0
2021-03-17,33620784,2875235,0,0,30011328,6484692,0
2021-03-18,35658703,3111700,0,0,31952935,6817469,0
2021-03-19,37977040,3332178,0,0,34228371,7080848,0
2021-03-20,40260683,3617184,0,0,36568988,7308880,0
2021-03-21,40934052,3711319,0,0,37303458,7341914,0
2021-03-22,43178899,4025733,0,0,39612614,7592019,0
